,Identifiant arc,Libelle,Date et heure de comptage,Débit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,geo_shape
8237953,4264,AV_Champs_Elysees,2022-11-03T02:00:00+01:00,570.0,6.98945,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352770,4264,AV_Champs_Elysees,2022-11-03T03:00:00+01:00,346.0,4.33111,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352744,4264,AV_Champs_Elysees,2022-11-03T04:00:00+01:00,282.0,4.52945,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
8237927,4264,AV_Champs_Elysees,2022-11-03T05:00:00+01:00,205.0,2.26611,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
8237901,4264,AV_Champs_Elysees,2022-11-03T06:00:00+01:00,319.0,3.45556,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352718,4264,AV_Champs_Elysees,2022-11-03T07:00:00+01:00,583.0,6.38278,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
8237875,4264,AV_Champs_Elysees,2022-11-03T08:00:00+01:00,864.0,9.48444,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352692,4264,AV_Champs_Elysees,2022-11-03T09:00:00+01:00,1170.0,14.05667,Fluide,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352666,4264,AV_Champs_Elysees,2022-11-03T10:00:00+01:00,,,Inconnu,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352640,4264,AV_Champs_Elysees,2022-11-03T11:00:00+01:00,,,Inconnu,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352614,4264,AV_Champs_Elysees,2022-11-03T12:00:00+01:00,1225.0,22.30222,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
8237849,4264,AV_Champs_Elysees,2022-11-03T13:00:00+01:00,1206.0,25.14445,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
3352588,4264,AV_Champs_Elysees,2022-11-03T14:00:00+01:00,1172.0,24.09278,Pré-saturé,2294,Av_Champs_Elysees-Washington,2293,Av_Champs_Elysees-Berri,Invalide,2005-01-01,2019-06-01,"48.871535879911605, 2.3017227924560624","{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
